storage_key,dossier_uid,scrutin_id,fecha_scrutin,titulo_scrutin,jorf_text_id,title_matched,match_score,bytes,status
DLR5L15N37092,DLR5L15N37092,1661,2019-01-31,l'ensemble de la proposition de loi pour une école vraiment inclusive (première lecture).,,,0.00,0,low_score_or_no_match
DLR5L15N41406,DLR5L15N41406,1662,2019-02-05,l'ensemble de la proposition de loi visant à prévenir les violences lors des manifestations et à sanctionner leurs auteurs (première lecture).,JORFTEXT000049563368,,0.17,0,low_score_or_no_match
DLR5L15N41031,DLR5L15N41031,1710,2019-02-19,l'ensemble de la proposition de loi visant à lutter contre la mort subite et à sensibiliser la population aux gestes qui sauvent (première lecture).,JORFTEXT000044367862,,0.16,0,low_score_or_no_match
DLR5L15N37940,DLR5L15N37940,1715,2019-02-21,l'ensemble de la proposition de loi visant à protéger la population des dangers de la malbouffe (première lecture).,,,0.00,0,low_score_or_no_match
DLR5L15N37168,DLR5L15N37168,1719,2019-03-07,l'ensemble de la proposition de loi en faveur de la transparence sur l'utilisation de l'épargne populaire en matière énergétique (première lecture).,JORFTEXT000038496102,,0.16,0,low_score_or_no_match
DLR5L15N39025,DLR5L15N39025,1724,2019-03-12,l'ensemble de la proposition de loi portant création d'une Agence nationale de la cohésion des territoires (première lecture).,JORFTEXT000038799829,<mark>LOI</mark> n° 2019-753 du 22 juillet 2019 <mark>portant</mark> <mark>création</mark> d'une <mark>Agence</mark> <mark>nationale</mark> de la <mark>cohésion</mark> des <mark>territoires</mark> (1),1.13,25875,ok
DLR5L15N39639,DLR5L15N39639,1816,2019-03-26,l'ensemble de la proposition de loi visant à améliorer la trésorerie des associations (première lecture).,JORFTEXT000043741543,<mark>LOI</mark> n° 2021-875 du 1er juillet 2021 <mark>visant</mark> à <mark>améliorer</mark> la <mark>trésorerie</mark> des <mark>associations</mark> (1),1.05,13419,ok
DLR5L15N38104,DLR5L15N38104,1820,2019-03-27,"l'ensemble de la proposition de loi de simplification, de clarification et d'actualisation du droit des sociétés (première lecture).",JORFTEXT000038792157,"<mark>LOI</mark> n° 2019-744 du 19 juillet 2019 de <mark>simplification</mark>, de <mark>clarification</mark> et <mark>d'actualisation</mark> du <mark>droit</mark> des <mark>sociétés</mark> (1)",1.14,22805,ok
DLR5L15N45349,DLR5L15N45349,1826,2019-04-04,l'ensemble de la proposition de loi visant à la création d'un répertoire des dérogations et adaptations normatives applicables aux personnes handicapées ou atteintes de maladies rares (première lecture).,,,0.00,0,low_score_or_no_match
DLR5L15N42066,DLR5L15N42066,1836,2019-04-10,l'ensemble de la proposition de loi visant à préserver les intérêts de la défense et de la sécurité nationale de la France dans le cadre de l'exploitation des réseaux radioélectriques mobiles (première lecture).,JORFTEXT000038864094,<mark>LOI</mark> n° 2019-810 du 1er août 2019 <mark>visant</mark> à <mark>préserver</mark> les <mark>intérêts</mark> de la <mark>défense</mark> et de la <mark>sécurité</mark> <mark>nationale</mark> de la <mark>France</mark> dans le <mark>cadre</mark> de <mark>l'exploitation</mark> des <mark>réseaux</mark> <mark>radioélectriques</mark> <mark>mobiles</mark> (1),1.14,8614,ok
DLR5L15N36719,DLR5L15N36719,1850,2019-05-07,l'ensemble de la proposition de loi visant à renforcer l'accompagnement des jeunes majeurs vulnérables vers l'autonomie (première lecture).,JORFTEXT000038496102,,0.19,0,low_score_or_no_match
DLR5L15N38182,DLR5L15N38182,1852,2019-05-09,l'ensemble de la proposition de loi pour la protection foncière des activités agricoles et des cultures marines en zone littorale (deuxième lecture).,JORFTEXT000038489303,<mark>LOI</mark> n° 2019-469 du 20 mai 2019 pour la <mark>protection</mark> <mark>foncière</mark> des <mark>activités</mark> <mark>agricoles</mark> et des <mark>cultures</mark> <mark>marines</mark> en <mark>zone</mark> <mark>littorale</mark> (1),1.19,3467,ok
DLR5L15N37678,DLR5L15N37678,1889,2019-05-10,l'ensemble du projet de loi pour la conservation et la restauration de la cathédrale Notre-Dame de Paris et instituant une souscription nationale à cet effet (première lecture).,JORFTEXT000038843049,<mark>LOI</mark> n° 2019-803 du 29 juillet 2019 pour la <mark>conservation</mark> et la <mark>restauration</mark> de la <mark>cathédrale</mark> Notre-<mark>Dame</mark> de <mark>Paris</mark> et <mark>instituant</mark> une <mark>souscription</mark> <mark>nationale</mark> à cet <mark>effet</mark> (1),1.16,13893,ok
DLR5L15N36450,DLR5L15N36450,1965,2019-06-19,l'ensemble du projet de loi de règlement du budget et d'approbation des comptes de l'année 2018 (première lecture).,JORFTEXT000038864100,<mark>LOI</mark> n° 2019-811 du 1er août 2019 de <mark>règlement</mark> du <mark>budget</mark> et <mark>d'approbation</mark> des <mark>comptes</mark> de <mark>l'année</mark> <mark>2018</mark> (1),1.18,52277,ok
DLR5L15N37308,DLR5L15N37308,2044,2019-07-10,l'ensemble de la proposition de loi visant à adapter l'organisation des communes nouvelles à la diversité des territoires (première lecture).,JORFTEXT000038864079,<mark>LOI</mark> n° 2019-809 du 1er août 2019 <mark>visant</mark> à <mark>adapter</mark> <mark>l'organisation</mark> des <mark>communes</mark> <mark>nouvelles</mark> à la <mark>diversité</mark> des <mark>territoires</mark> (1),1.19,18962,ok
DLR5L15N37607,DLR5L15N37607,2059,2019-07-23,"l'ensemble du projet de loi autorisant la ratification de l'accord économique et commercial global entre l'Union européenne et ses États membres, d'une part, et le Canada, d'autre part, et de l'accord de partenariat stratégique entre l'Union européenne et ses États membres, d'une part, et le Canada, d'autre part (première lecture).",JORFTEXT000048727345,,0.05,0,low_score_or_no_match
DLR5L15N37404,DLR5L15N37404,2063,2019-07-23,l'ensemble du projet de loi relatif à la modernisation de la distribution de la presse (première lecture).,JORFTEXT000039241255,<mark>LOI</mark> n° 2019-1063 du 18 octobre 2019 relative à la <mark>modernisation</mark> de la <mark>distribution</mark> de la <mark>presse</mark> (1),0.90,65515,ok
DLR5L15N41965,DLR5L15N41965,2079,2019-09-24,l'ensemble de la proposition de loi organique visant à clarifier diverses dispositions du droit électoral (première lecture).,JORFTEXT000039439981,<mark>LOI</mark> <mark>organique</mark> n° 2019-1268 du 2 décembre 2019 <mark>visant</mark> à <mark>clarifier</mark> <mark>diverses</mark> <mark>dispositions</mark> du <mark>droit</mark> <mark>électoral</mark> (1),1.46,3967,ok
DLR5L15N37702,DLR5L15N37702,2147,2019-10-15,l'ensemble de la proposition de loi visant à agir contre les violences au sein de la famille (première lecture).,JORFTEXT000039684243,<mark>LOI</mark> n° 2019-1480 du 28 décembre 2019 <mark>visant</mark> à <mark>agir</mark> <mark>contre</mark> les <mark>violences</mark> au <mark>sein</mark> de la <mark>famille</mark> (1),1.16,25972,ok
DLR5L15N37698,DLR5L15N37698,2336,2019-11-28,l'ensemble de la proposition de loi visant à répondre à la demande des patients par la création de Points d'accueil pour soins immédiats (première lecture).,JORFTEXT000052075903,,0.15,0,low_score_or_no_match
DLR5L15N43049,DLR5L15N43049,2342,2019-12-04,l'ensemble de la proposition de loi relative à la transparence de l'information sur les produits agricoles et alimentaires (première lecture).,JORFTEXT000041982762,<mark>LOI</mark> n° 2020-699 du 10 juin 2020 <mark>relative</mark> à la <mark>transparence</mark> de <mark>l'information</mark> sur les <mark>produits</mark> <mark>agricoles</mark> et <mark>alimentaires</mark> (1),1.10,9560,ok
