scrutin_id,fecha,fecha_iso,sort,amendement_num,sous_amendement_num,es_sous_amendement,es_suppression,es_redaction_globale,es_identiques,demandeur,article_ref,ley_tipo,ley_titulo_corto,dossier_ref,titulo_scrutin
3914,2021-07-22,2021-07-22,rejeté,621,,0,0,0,1,Mme Fiat et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 621 de Mme Fiat et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3915,2021-07-22,2021-07-22,rejeté,500,,0,0,0,0,M. Lagarde,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 500 de M. Lagarde à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3916,2021-07-22,2021-07-22,rejeté,64,,0,0,0,1,M. Emmanuel Maquet et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 64 de M. Emmanuel Maquet et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3918,2021-07-22,2021-07-22,adopté,974,,0,0,0,0,Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 974 du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3919,2021-07-22,2021-07-22,adopté,372,,0,0,0,1,M. Hemedinger et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 372 de M. Hemedinger et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
392,2018-02-13,2018-02-13,rejeté,81,,0,0,0,0,Mme Untermaier,premier,projet de loi,relatif à l'élection des représentants au Parlement européen,,l'amendement n°81 de Mme Untermaier à l'article premier du projet de loi relatif à l'élection des représentants au Parlement européen (première lecture).
3920,2021-07-22,2021-07-22,rejeté,46,,0,0,0,1,Mme Ménard et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 46 de Mme Ménard et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3921,2021-07-22,2021-07-22,rejeté,140,,0,0,0,1,M. Gosselin et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 140 de M. Gosselin et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3922,2021-07-22,2021-07-22,rejeté,975,,0,0,0,0,M. Molac,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 975 de M. Molac à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3923,2021-07-22,2021-07-22,rejeté,574,,0,0,0,0,Mme El Aaraje,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 574 de Mme El Aaraje à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3924,2021-07-22,2021-07-22,rejeté,573,,0,0,0,0,Mme El Aaraje,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 573 de Mme El Aaraje à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3925,2021-07-22,2021-07-22,rejeté,92,,0,0,0,1,M. Pauget et les amendements identiques suivants,premier,projet de loi,relatif à la gestion de la crise sanitaire,,l'amendement n° 92 de M. Pauget et les amendements identiques suivants à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3926,2021-07-22,2021-07-22,rejeté,1214,1214,1,0,0,0,M. Jumel à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1214 de M. Jumel à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
3927,2021-07-22,2021-07-22,rejeté,1215,1215,1,0,0,0,M. Jumel à l'amendement n° 1033 (rect.) du Gouvernement,premier,projet de loi,relatif à la gestion de la crise sanitaire,,le sous-amendement n° 1215 de M. Jumel à l'amendement n° 1033 (rect.) du Gouvernement à l'article premier du projet de loi relatif à la gestion de la crise sanitaire (première lecture).
