scrutin_id,titulo_scrutin,fecha,dossier_uid,dossier_titre,match_score,code_loi,titre_loi_promulgation,nor_jo,url_legifrance,nor_jo_rectificatif,url_legifrance_rectificatif,texto_oficial
999,l'ensemble de la proposition de loi organique relative à la lutte contre la manipulation de l'information (première lecture).,2018-07-03,DLR5L15N44492,Proposition de loi organique relative au Département-Région de Mayotte,0.722,,,,,,,
1003,l'ensemble de la proposition de loi renforçant la lutte contre les rodéos motorisés (première lecture).,2018-07-04,DLR5L15N38216,Proposition de loi renforçant la lutte contre les rodéos motorisés,1.000,,,,,,,
1092,l'ensemble du projet de loi pour la liberté de choisir son avenir professionnel (nouvelle lecture).,2018-07-25,DLR5L15N37956,Ordonnances prévues par la loi pour la liberté de choisir son avenir professionnel,0.816,,,,,,,
1110,"l'ensemble du projet de loi pour une immigration maîtrisée, un droit d'asile effectif et une intégration réussie (nouvelle lecture).",2018-07-26,DLR5L15N36233,Immigration,0.820,,,,,,,
1111,l'ensemble de la proposition de loi relative à l'encadrement de l'utilisation du téléphone portable dans les établissements d'enseignement scolaire (texte de la commission mixte paritaire).,2018-07-30,DLR5L15N38186,Proposition de loi relative à l'amélioration du fonctionnement des établissements publics de coopération intercommunale à fiscalité propre,0.593,,,,,,,
1113,l'ensemble de la proposition de loi relative à l'harmonisation de l'utilisation des caméras mobiles par les autorités de sécurité publique (première lecture),2018-07-30,DLR5L15N36690,Utilisation des caméras mobiles par les autorités de sécurité publique,0.820,2018-697,relative \u00e0 l'harmonisation de l'utilisation des cam\u00e9ras mobiles par les autorit\u00e9s de s\u00e9curit\u00e9 publique,INTX1816692L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTX1816692L,,,
1116,l'ensemble du projet de loi pour la liberté de choisir son avenir professionnel (lecture définitive).,2018-08-01,DLR5L15N37956,Ordonnances prévues par la loi pour la liberté de choisir son avenir professionnel,0.816,,,,,,,
1117,"l'ensemble du projet de loi pour une immigration maîtrisée, un droit d'asile effectif et une intégration réussie (lecture définitive).",2018-08-01,DLR5L15N36233,Immigration,0.820,,,,,,,
1118,l'ensemble du projet de loi d'orientation et de programmation renforçant la lutte contre les violences sexuelles et sexistes (texte de la commission mixte paritaire).,2018-08-01,DLR5L15N36496,Lutte contre les violences sexuelles et sexistes,0.820,2018-703,renfor\u00e7ant la lutte contre les violences sexuelles et sexistes,JUSD1805895L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=JUSD1805895L,,,
1156,"l'ensemble du projet de loi pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine, durable et accessible à tous (nouvelle lecture).",2018-09-14,DLR5L15N37242,"Mission de contrôle de l'application de la loi n° 2018-938 du 30 octobre 2018 pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine, durable et accessible à tous",0.757,,,,,,,
1171,l'ensemble du projet de loi relatif à la lutte contre la fraude (première lecture).,2018-09-26,DLR5L15N36530,Lutte contre la fraude,0.820,2018-898,relative \u00e0 la lutte contre la fraude,CPAE1805937L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=CPAE1805937L,,,
1181,"l'ensemble du projet de loi pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine, durable et accessible à tous (lecture définitive).",2018-10-02,DLR5L15N37242,"Mission de contrôle de l'application de la loi n° 2018-938 du 30 octobre 2018 pour l'équilibre des relations commerciales dans le secteur agricole et alimentaire et une alimentation saine, durable et accessible à tous",0.757,,,,,,,
1184,"l'ensemble du projet de loi portant évolution du logement, de l'aménagement et du numérique (texte de la commission mixte paritaire).",2018-10-03,DLR5L15N36628,"Evolution du logement, de l’aménagement et du numérique (ELAN) (délégation aux collectivités territoriales)",0.676,,,,,,,
1209,l'ensemble du projet de loi relatif à la croissance et la transformation des entreprises (première lecture).,2018-10-09,DLR5L15N36728,Croissance et transformation des entreprises (PACTE),0.710,2019-486,relative \u00e0 la croissance et la transformation des entreprises,ECOT1810669L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOT1810669L,ECOT1810669Z,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOT1810669Z,
1214,l'ensemble de la proposition de loi ordinaire relative à la lutte contre la manipulation de l'information (nouvelle lecture).,2018-10-09,DLR5L15N36488,Lutte contre la manipulation de l'information,0.820,2018-1202,relative \u00e0 la lutte contre la manipulation de l'information,MICX1808389L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MICX1808389L,,,
1215,l'ensemble du projet de loi relatif à la lutte contre la fraude (texte de la commission mixte paritaire).,2018-10-10,DLR5L15N36530,Lutte contre la fraude,0.820,2018-898,relative \u00e0 la lutte contre la fraude,CPAE1805937L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=CPAE1805937L,,,
1330,l'ensemble du projet de loi de financement de la sécurité sociale pour 2019 (première lecture).,2018-10-30,DLR5L15N40633,Projet de loi de financement de la sécurité sociale pour 2021,0.984,2020-1576,de financement de la s\u00e9curit\u00e9 sociale pour 2021,ECOX2023815L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2023815L,,,
1389,l'ensemble du projet de loi de finances rectificative pour 2018 (première lecture).,2018-11-12,DLR5L15N44111,Projet de loi de finances rectificative pour 2021,0.980,2021-1549,de finances rectificative pour 2021,ECOX2131239L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2131239L,,,
1429,l'ensemble du projet de loi de finances pour 2019 (première lecture).,2018-11-20,DLR5L15N40790,Projet de loi de finances pour 2021,0.971,,,,,,,
1431,l'ensemble de la proposition de loi relative à la lutte contre la manipulation de l'information (lecture définitive).,2018-11-20,DLR5L15N36488,Lutte contre la manipulation de l'information,0.820,2018-1202,relative \u00e0 la lutte contre la manipulation de l'information,MICX1808389L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MICX1808389L,,,
1432,l'ensemble de la proposition de loi organique relative à la lutte contre la manipulation de l'information (lecture définitive).,2018-11-20,DLR5L15N44492,Proposition de loi organique relative au Département-Région de Mayotte,0.722,,,,,,,
1501,l'ensemble du projet de loi de finances rectificative pour 2018 (lecture définitive).,2018-11-28,DLR5L15N44111,Projet de loi de finances rectificative pour 2021,0.980,2021-1549,de finances rectificative pour 2021,ECOX2131239L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2131239L,,,
1507,l'ensemble du projet de loi de financement de la sécurité sociale pour 2019 (nouvelle lecture).,2018-11-28,DLR5L15N40633,Projet de loi de financement de la sécurité sociale pour 2021,0.984,2020-1576,de financement de la s\u00e9curit\u00e9 sociale pour 2021,ECOX2023815L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2023815L,,,
1514,"l'ensemble de la proposition de loi visant à renforcer la prise en charge des cancers pédiatriques par la recherche, le soutien aux aidants familiaux, la formation des professionnels et le droit à l'oubli (première lecture).",2018-11-29,DLR5L15N36927,Prise en charge des cancers pédiatriques,0.820,2019-180,"visant \u00e0 renforcer la prise en charge des cancers p\u00e9diatriques par la recherche, le soutien aux aidants familiaux, la formation des professionnels et le droit \u00e0 l'oubli",SSAX1832793L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=SSAX1832793L,,,
1515,l'ensemble de la proposition de loi pour la protection des activités agricoles et des cultures marines en zones littorale et de montagne (première lecture).,2018-11-29,DLR5L15N36917,Activités agricoles et cultures marines en zones littorale et de montagne,0.760,2019-469,pour la protection fonci\u00e8re des activit\u00e9s agricoles et des cultures marines en zone littorale,AGRX1832937L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=AGRX1832937L,,,
1516,l'ensemble de la proposition de loi relative à l'interdiction des violences éducatives ordinaires (première lecture).,2018-11-29,DLR5L15N36415,Viol,0.820,,,,,,,
1519,l'ensemble du projet de loi de financement de la sécurité sociale pour 2019 (lecture définitive).,2018-12-03,DLR5L15N40633,Projet de loi de financement de la sécurité sociale pour 2021,0.984,2020-1576,de financement de la s\u00e9curit\u00e9 sociale pour 2021,ECOX2023815L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=ECOX2023815L,,,
1540,l'ensemble de la proposition de loi visant à encadrer le démarchage téléphonique et à lutter contre les appels frauduleux (première lecture).,2018-12-06,DLR5L15N38097,Proposition de loi visant à renforcer la lutte contre la cyber-fraude,0.682,,,,,,,
1549,l'ensemble de la proposition de loi visant à favoriser la reconnaissance des proches aidants (première lecture).,2018-12-06,DLR5L15N36913,Reconnaissance des proches aidants,0.820,2019-485,visant \u00e0 favoriser la reconnaissance des proches aidants,SSAX1830131L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=SSAX1830131L,,,
1556,l'ensemble du projet de loi habilitant le Gouvernement à prendre par ordonnances les mesures de préparation au retrait du Royaume-Uni de l'Union européenne (première lecture).,2018-12-10,DLR5L15N36910,Mesures de préparation au retrait du Royaume-Uni de l'Union européenne,0.820,2019-30,habilitant le Gouvernement \u00e0 prendre par ordonnances les mesures de pr\u00e9paration au retrait du Royaume-Uni de l'Union europ\u00e9enne,EAEX1825542L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=EAEX1825542L,,,
1568,l'ensemble du projet de loi de programmation 2018-2022 et de réforme pour la justice (première lecture).,2018-12-11,DLR5L15N36626,Loi de programmation de la justice 2018-2022,0.596,2019-222,de programmation 2018-2022 et de r\u00e9forme pour la justice,JUST1806695L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=JUST1806695L,,,
1570,l'ensemble du projet de loi organique relatif au renforcement de l'organisation des juridictions (première lecture).,2018-12-11,DLR5L15N40949,Projet de loi organique relatif aux délais d’organisation des élections législatives et sénatoriales,0.674,2020-1669,relative aux d\u00e9lais d\u2019organisation des \u00e9lections l\u00e9gislatives et s\u00e9natoriales partielles,INTA2030919L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=INTA2030919L,,,
1571,l'ensemble de la proposition de loi visant à faciliter la sortie de l'indivision successorale et à relancer la politique du logement en outre-mer (deuxième lecture).,2018-12-12,DLR5L15N36726,Outre-mer,0.820,,,,,,,
1572,l'ensemble de la proposition de loi visant à sécuriser l'exercice des praticiens diplômés hors Union européenne (première lecture).,2018-12-12,DLR5L15N36973,Exercice des praticiens diplômés hors Union européenne,0.820,2018-1245,visant \u00e0 s\u00e9curiser l'exercice des praticiens dipl\u00f4m\u00e9s hors Union europ\u00e9enne,SSAX1830590L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=SSAX1830590L,,,
1595,l'ensemble du projet de loi de finances pour 2019 (nouvelle lecture).,2018-12-18,DLR5L15N40790,Projet de loi de finances pour 2021,0.971,,,,,,,
1596,l'ensemble du projet de loi de finances pour 2019 (lecture définitive).,2018-12-20,DLR5L15N40790,Projet de loi de finances pour 2021,0.971,,,,,,,
1613,l'ensemble du projet de loi portant mesures d'urgence économiques et sociales (première lecture).,2018-12-20,DLR5L15N37103,Mesures d’urgence économiques et sociales,0.777,2018-1213,portant mesures d'urgence \u00e9conomiques et sociales,MTRX1834337L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=MTRX1834337L,,,
1620,l'ensemble du projet de loi habilitant le Gouvernement à prendre par ordonnances des mesures de préparation au retrait du Royaume-Uni de l'Union européenne (texte de la commission mixte paritaire).,2019-01-16,DLR5L15N36910,Mesures de préparation au retrait du Royaume-Uni de l'Union européenne,0.820,2019-30,habilitant le Gouvernement \u00e0 prendre par ordonnances les mesures de pr\u00e9paration au retrait du Royaume-Uni de l'Union europ\u00e9enne,EAEX1825542L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=EAEX1825542L,,,
1633,l'ensemble du projet de loi de programmation 2018-2022 et de réforme pour la justice (nouvelle lecture).,2019-01-23,DLR5L15N36626,Loi de programmation de la justice 2018-2022,0.596,2019-222,de programmation 2018-2022 et de r\u00e9forme pour la justice,JUST1806695L,http://www.legifrance.gouv.fr/WAspad/UnTexteDeJorf?numjo=JUST1806695L,,,
