id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,460,diavictimes:65; emmanuelmacron:62; gabrielattal:19; alouismars:12; franceinfo:9; e_dupondm:9; bfmtv:6; enthoven_r:6; gdarmanin:5; arthur_dvx:4; cn2r_france:4; blancgerard13:4; renaissance:4; rtlfrance:4; maxime_boudet:4; nathalieloiseau:4; elysee:3; justice_gouv:3; lcp:3; claudemalhuret:3; ambroise_mejean:3; nbelloubet:3; j_bardella:3; lci:3; brunolemaire:3; le_parisien:2; perrinegoulet:2; bfmmarseille:2; laprovence:2; afpfr:2
720704,Laurence Vichnievsky,Lvichnievsky,twitter.com/Lvichnievsky,460,lvichnievsky:20; lcp:17; emmanuelmacron:14; yaelbraunpivet:11; modem:10; gdarmanin:10; bayrou:8; assembleenat:8; phgosselin:8; jmblanquer:7; an_comlois:6; bfmtv:6; jnbarrot:5; gabrielattal:5; youtube:5; deputesdem:5; f3auvergne:5; groupemodem:5; ffb_63:4; avecvous:4; olivierfourot:3; cbeaune:3; limagrain:3; an_afetr:3; franceculture:3; lci:3; fbauvergne:3; figaro_live:3; asmofficiel:3; cpiresbeaune:3
719396,Jean-Charles Larsonneur,JCLarsonneur,twitter.com/JCLarsonneur,457,audrands:46; brunotertrais:24; olivier1schmitt:17; grirejacques:13; mikaa_bm:12; emmanuelmacron:10; grand_continent:8; nathalieloiseau:7; vincentlamigeon:7; carlbildt:7; ntenzer:6; michel_goya:6; hfayet:6; kajakallas:6; kasparov63:6; annakubista:5; alexjubelin:5; rglucks1:4; francediplo:4; josephhenrotin:4; ojoelsen:4; danishmfa:4; marionvanr:4; mylovanov:3; elietenenbaum:3; sophiaaram:3; cavautrin:3; anitaanandmp:3; mcfaul:3; anders_aslund:3
719830,Nicolas Démoulin,demoulinem,twitter.com/demoulinem,456,emmanuelmacron:46; emmwargon:30; dihal_gouv:23; assembleenat:18; larem_an:17; demoulinem:15; brnomorel:10; auroreberge:9; 1elisamoreno:8; rolandlescure:8; gabrielattal:8; j_denormandie:8; jeancastex:8; franceaumali:7; prefet34:6; yaelbraunpivet:6; elysee:6; enmarchefr:6; sylv1mathieu:5; sdis34:5; emmausolidarite:5; ccastaner:5; deputecausse:5; ademontchalin:5; abbe_pierre:4; christopheeuzet:4; jfeliaou:4; cbeaune:4; croixrouge34:4; gouvernementfr:4
721458,Xavier Roseren,XavierRoseren,twitter.com/XavierRoseren|twitter.com/https:,449,brunolemaire:28; deputesre:17; rolandlescure:16; antoine_armand:15; emmanuelmacron:14; deputeshorizons:12; agnesrunacher:12; gdarmanin:11; anemmontagne:9; xavierroseren:9; auroreberge:9; ephilippe_lh:8; gabrielattal:8; renaissance:7; lcp:7; elisabeth_borne:7; horizonsleparti:6; anniegenevard:6; michelbarnier:6; assembleenat:5; seblecornu:4; bayrou:4; ferraccimarc:4; v_riotton:4; yaelbraunpivet:4; cbeaune:4; gendarmerie_074:4; oliviagregoire:4; t_cazenave:4; stanguerini:4
1809,Jérôme Lambert,jeromelambert16,twitter.com/jeromelambert16,446,amisazerbaidjan:46; gordontesos:42; jeromelambert16:31; guillaume20100:29; faureolivier:17; labdullayevamfa:16; socialistesan:13; lcp:12; azambassadefr:10; guilhemb12:10; cedric_temple:9; assembleenat:6; borisvallaud:6; pbeyssac:6; imilnb:6; moro_cedric:4; dorcel:4; bcazeneuve:3; lesrepublicains:3; valerie_rabault:3; nicolasmayernmr:3; brunoretailleau:3; emmanuelmacron:3; cphre2020:3; mathildepanot:3; samuelchurin:3; desarnez:3; senat:2; nasimiaghayev:2; caucasef:2
720644,Jérôme Nury,jeromenury,twitter.com/jeromenury,444,jeromenury:82; ornedepartement:27; senateur61:25; verolouwagie:19; prefet61:19; assembleenat:13; republicains_an:12; lcp:10; guillaumegarot:9; herve_morin:7; segouinv:7; nicolasloque:7; ornecombattante:5; ancterritoires:5; chantaljourdan:4; fbleubnormandie:4; f3normandie:4; orangenormandie:4; lbeauvaisbn:4; constancelegrip:3; fftelecoms:3; oliviermarleix:3; lesrepublicains:3; banquedesterr:3; energiematin:2; ffequitation:2; ebothorel:2; anniegenevard:2; lesburalistes:2; cdebalorre:2
721792,Émilie Guerel,eguerelLREM,twitter.com/eguerelLREM,439,sarahelhairy:47; emmanuelmacron:30; yaelbraunpivet:22; an_comlois:14; snujemengage:11; laseynesurmer:11; ephilippepm:7; assembleenat:6; eguerellrem:6; ccastaner:5; larem_an:5; auroreberge:5; lcp:4; renaudmuselier:4; guy_lvt:3; jmblanquer:3; eduscol:3; elisabeth_borne:3; lesjam83:3; jblemoyne:3; brunolemaire:3; bquestel:3; maregionsud:3; jeancastex:3; conv_citoyenne:3; oliviagregoire:3; olivierveran:3; ambroise_mejean:2; priscathevenot:2; gabrielattal:2
718868,Michel Larive,Michel_Larive,twitter.com/Michel_Larive,438,benedicttaurine:10; michel_larive:8; jlmelenchon:4; mbompard:4; l_insoumission:4; christophebex:3; mathildehignet:3; tremasuri:3; deputee_obono:3; clem_autain:3; franceinsoumise:3; manonmeunier_up:2; sylv20carriere:2; mathildepanot:2; nathalieoziol:2; leilachaibi:2; poncetraymonde:2; aleaument:2; clemence_guette:1; icioccitanie:1; confpaysanne:1; gabrielattal:1; mic:1; younousomarjee:1; sebrome:1; anne_stambach:1; leowalter04:1; leboucher_elise:1; ruralites_lfi:1; dominiquesubra:1
608416,Patrick Hetzel,patrickhetzel,twitter.com/patrickhetzel,438,patrickhetzel:117; genethique:85; lcp:23; droiterep_an:13; lesrepublicains:12; thibault_bazin:12; republicains_an:12; brunoretailleau:11; bentzchristophe:9; fxbellamy:9; cavautrin:9; republicains67:8; asso_sfap:8; philippejuvin:8; michelbarnier:8; pdharreville:8; deputecvautrin:7; potierdominique:6; h2brgrd:6; speytavie:6; anniegenevard:6; le_figaro:5; sandrousseau:5; laurentwauquiez:5; mdehennezel:5; sandrine_dogor:5; astridpanosyan:5; pilatorene:5; cecile_rilhac:5; olivierfalorni:4
