tweet_id,timestamp,text,author_handle,mentioned_handles,deputy_id,full_name,twitter_name,twitter_web_urls,political_group_abbrev,political_group
1991579215888805929,Thu Nov 20 18:47:41 +0000 2025,"RT @BFMMarseille: Amine Kessaci: ""Je ne peux pas avoir peur après ce qu'ils ont fait à mon frère (...) C'est une lutte à mort qui est engag…",alouismars,bfmmarseille,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1991232563805819294,Wed Nov 19 19:50:13 +0000 2025,"Le trafiquants font beaucoup de victimes trop souvent réduites au silence. Ce sont des familles entières qui vivent dans l’effroi, le deuil et l’angoisse pour que certain puisse s’acheter leur drogue.",alouismars,,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1991230935589667149,Wed Nov 19 19:43:44 +0000 2025,"RT @AuschwitzMuseum: We remind @grok that denying the Holocaust violates the regulations of @X.

SS documents, survivor and witness testimo…",alouismars,auschwitzmuseum; grok; x,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1991062675053215789,Wed Nov 19 08:35:08 +0000 2025,"RT @laprovence: Narcotrafic : les acheteurs de cocaïne ou cannabis sont ""complices"", déclare Emmanuel Macron
👉 https://t.co/sehwS7OvCY http…",alouismars,laprovence,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1990857702231130538,Tue Nov 18 19:00:39 +0000 2025,"RT @NunezLaurent: Marseille ne tombera pas. 
Je veux remercier les forces de l’ordre, les magistrats, tous ceux qui s’engagent avec courage…",alouismars,nunezlaurent,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1990376986653671672,Mon Nov 17 11:10:27 +0000 2025,"RT @Asso_MM: 10 ans après 🕊
#13Novembre2015

« La mort n’arrête pas l’amour »
N’oublions pas
Marie &amp; Mathias 💙 https://t.co/2PVi470Mj2",alouismars,asso_mm,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1989430078183194650,Fri Nov 14 20:27:47 +0000 2025,Ces criminels ont  arraché encore une fois un enfant à sa famille. Tout mon soutien à @kessaciamine1 et à sa famille endeuillée. Le narco banditisme n’aura pas le dernier mot.,alouismars,kessaciamine1,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1989410800403190162,Fri Nov 14 19:11:10 +0000 2025,"RT @afpfr: 🇫🇷 ""Mon amour est plus fort que ta haine ne le sera jamais"" : le Choeur 13, composé de rescapés, victimes et témoins des attenta…",alouismars,afpfr,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1989080825145839828,Thu Nov 13 21:19:58 +0000 2025,"Les voix des victimes du #13novembre sont devenue celles de toute une nation.
Merci aux associations de victimes @13onze15 et @lifeforparis pour ce qu’elles sont et se qu’elles font depuis 10 ans pour les victimes et pour notre démocratie. https://t.co/NiAU3LQFgV",alouismars,13onze15; lifeforparis,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1989074889916182694,Thu Nov 13 20:56:23 +0000 2025,"RT @FranceTV: Jesse Hughes du groupe Eagles of Death Metal chante ""You’ll never walk alone"" avec le Choeur du 13, composé de survivants et…",alouismars,francetv,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
1989074461732307325,Thu Nov 13 20:54:41 +0000 2025,RT @EmmanuelMacron: La France se souvient. https://t.co/ByBdJiFdVX,alouismars,emmanuelmacron,718918,Alexandra Louis,ALouisMars,twitter.com/ALouisMars|twitter.com/ALouisDeputee13,LAREM,La République en Marche
