id,full_name,twitter_name,twitter_web_urls,tweets_en_captura,top_mentions
718884,Valérie Bazin-Malgras,vbazinmalgras,twitter.com/vbazinmalgras,956,villedetroyes:222; vbazinmalgras:144; lesrepublicains:110; francoisbaroin:100; republicains_an:74; chjacob77:46; assembleenat:34; aurelienpradie:30; 5edragons:30; vpecresse:22; estac_officiel:20; constancelegrip:18; lcp:16; eciotti:14; emmanuelmacron:14; an_afcult:14; prefet_10:12; martingabriel_3:12; tgassilloud:10; maillotjaunelcl:10; receysurource:10; ligue1ubereats:10; brigitte_kuster:10; damienabad:10; odassault:10; juliendive:10; maximeminot:10; iheliotcouronne:10; fnsea:8; agnesevren:8
722244,Marie-Ange Magne,MarieAngeMagne,twitter.com/MarieAngeMagne,946,emmanuelmacron:206; ephilippepm:46; prefet87:40; marieangemagne:36; gdarmanin:36; an_finances:28; gouvernementfr:28; assembleenat:26; brunolemaire:22; jeancastex:20; franckriester:20; lepopulaire_fr:18; r_bachelot:14; gdarrieussecq:14; elysee:12; ministerecc:12; olivierdussopt:12; olivierveran:12; jmblanquer:12; franceinfo:10; transpod_inc:10; gabrielattal:10; alexiholroyd:10; agnesrunacher:10; hyperloop87:10; ademontchalin:10; gdarrieussecq21:8; larem_an:8; villelimoges87:8; 1elisamoreno:8
720298,Émilie Cariou,EmilieCariou,twitter.com/EmilieCariou,940,lemondefr:68; faureolivier:38; partisocialiste:26; franceinter:20; libe:18; lcp:10; bricegaillard:10; bfmtv:10; franceculture:10; ens_ulm:10; emiliecariou:10; albanegaillot:10; noustoutesorg:10; gc_mardis:8; francediplo:8; artefr:8; lobs:8; unesco_fr:6; edwyplenel:6; rglucks1:6; theolaubry:6; socialistesan:6; mincolonna:6; franceintheuk:6; pcanfin:6; emmarafowicz:4; chloeridel:4; prefet55:4; fc_actu:4; evajoly:4
721568,Pierre Person,pierr_person,twitter.com/pierr_person,932,usualmoney:200; pierr_person:68; rglucks1:30; emmanuelmacron:28; raph_bloch:26; fedorovmykhailo:24; nathalieloiseau:18; ericlagadec:18; paddi_hansen:18; thebigwhale_:16; ukrainestand:16; adlitb:12; curvefinance:12; pendle_fi:12; bfmcrypto:12; adan_asso:12; iaponomarenko:12; edwardmayor:10; zelenskyyua:10; momir_amidzic:8; stutireal:8; iosgvc:8; femeninna:8; stachalex:8; fpetitan:8; defi_dad:6; edge_pod:6; ether_fi:6; mevcapital:6; sachahoulie:6
719822,Sabine Thillaye,SabineThillaye,twitter.com/SabineThillaye,924,deputesdem:80; mfesneau:70; emmanuelmacron:48; jnbarrot:42; seblecornu:26; modem:20; sabinethillaye:14; ifri_:12; j_m_jacques:12; amb_delattre:12; pl_maurice:10; opexnews:10; benjaminhaddad:10; assembleenat:10; klinkertbrigitt:10; fpetitan:10; bayrou:10; dga:8; francediplo:8; an_defense:8; elysee:8; cerfaifri:6; ambdeenfr:6; senat:6; bfmtv:4; franceinfo:4; armeedeterre:4; cemat_fr:4; lcp:4; sesu_ua:4
720704,Laurence Vichnievsky,Lvichnievsky,twitter.com/Lvichnievsky,920,lvichnievsky:40; lcp:34; emmanuelmacron:28; yaelbraunpivet:22; modem:20; gdarmanin:20; bayrou:16; assembleenat:16; phgosselin:16; jmblanquer:14; an_comlois:12; bfmtv:12; jnbarrot:10; gabrielattal:10; youtube:10; deputesdem:10; f3auvergne:10; groupemodem:10; ffb_63:8; avecvous:8; olivierfourot:6; cbeaune:6; limagrain:6; an_afetr:6; franceculture:6; lci:6; fbauvergne:6; figaro_live:6; asmofficiel:6; cpiresbeaune:6
719396,Jean-Charles Larsonneur,JCLarsonneur,twitter.com/JCLarsonneur,914,audrands:92; brunotertrais:48; olivier1schmitt:34; grirejacques:26; mikaa_bm:24; emmanuelmacron:20; grand_continent:16; nathalieloiseau:14; vincentlamigeon:14; carlbildt:14; ntenzer:12; michel_goya:12; hfayet:12; kajakallas:12; kasparov63:12; annakubista:10; alexjubelin:10; rglucks1:8; francediplo:8; josephhenrotin:8; ojoelsen:8; danishmfa:8; marionvanr:8; mylovanov:6; elietenenbaum:6; sophiaaram:6; cavautrin:6; anitaanandmp:6; mcfaul:6; anders_aslund:6
719830,Nicolas Démoulin,demoulinem,twitter.com/demoulinem,912,emmanuelmacron:92; emmwargon:60; dihal_gouv:46; assembleenat:36; larem_an:34; demoulinem:30; brnomorel:20; auroreberge:18; 1elisamoreno:16; rolandlescure:16; gabrielattal:16; j_denormandie:16; jeancastex:16; franceaumali:14; prefet34:12; yaelbraunpivet:12; elysee:12; enmarchefr:12; sylv1mathieu:10; sdis34:10; emmausolidarite:10; ccastaner:10; deputecausse:10; ademontchalin:10; abbe_pierre:8; christopheeuzet:8; jfeliaou:8; cbeaune:8; croixrouge34:8; gouvernementfr:8
721458,Xavier Roseren,XavierRoseren,twitter.com/XavierRoseren|twitter.com/https:,898,brunolemaire:56; deputesre:34; rolandlescure:32; antoine_armand:30; emmanuelmacron:28; deputeshorizons:24; agnesrunacher:24; gdarmanin:22; anemmontagne:18; xavierroseren:18; auroreberge:18; ephilippe_lh:16; gabrielattal:16; renaissance:14; lcp:14; elisabeth_borne:14; horizonsleparti:12; anniegenevard:12; michelbarnier:12; assembleenat:10; seblecornu:8; bayrou:8; ferraccimarc:8; v_riotton:8; yaelbraunpivet:8; cbeaune:8; gendarmerie_074:8; oliviagregoire:8; t_cazenave:8; stanguerini:8
722194,Florence Provendier,flprovendier,twitter.com/flprovendier,894,bernardlehut:183; jnbarrot:63; francediplo:36; o_decottignies:36; ogamashiyo:30; pybournazel:24; femmeazadi:24; fdevedjian:24; nikolpashinyan:24; gabrielattal:21; sifaoui:21; emmanuelmacron:18; alinejadmasih:18; freececile_:18; araratmirzoyan:18; nathalieloiseau:15; yaelbraunpivet:15; jchribuisson:15; armenpressfr:12; benjaminhaddad:12; am_crossroads:12; lauriannerossi:12; datirachida:9; limportant_fr:9; tolmajian:9; armkhach:9; csoutienbs:9; sachahoulie:9; sophieriottot:9; paroles_la:6
